	Unnamed: 0	threshold	method	val	Unnamed: 0.1
0	0.0	0.1	recall	0.5649069267114312	
1	1.0	0.1	precision	0.7309883025773548	
2	2.0	0.1	accuracy	0.8225931677018634	
3	3.0	0.05	recall	0.5724631301759682	
4	4.0	0.05	precision	0.7334783733740666	
5	5.0	0.05	accuracy	0.8246348056130666	
6	0.0	2.5	recall	0.0082859972308913	0.0
7	1.0	2.5	precision	0.3303694843168527	1.0
8	2.0	2.5	accuracy	0.7217477570738441	2.0
9	3.0	2.45	recall	0.0082859972308913	3.0
10	4.0	2.45	precision	0.3303694843168527	4.0
11	5.0	2.45	accuracy	0.7217477570738441	5.0
12	6.0	2.4000000000000004	recall	0.0088071237009191	6.0
13	7.0	2.4000000000000004	precision	0.3286437608362051	7.0
14	8.0	2.4000000000000004	accuracy	0.7215464688290775	8.0
15	9.0	2.35	recall	0.0098494010817622	9.0
16	10.0	2.35	precision	0.3360576674291842	10.0
17	11.0	2.35	accuracy	0.7214314469749253	11.0
18	12.0	2.3	recall	0.0107353388922112	12.0
19	13.0	2.3	precision	0.345899250954123	13.0
20	14.0	2.3	accuracy	0.7214458247066942	14.0
21	15.0	2.25	recall	0.011100133938774	15.0
22	16.0	2.25	precision	0.3499050879828576	16.0
23	17.0	2.25	accuracy	0.7214602024384633	17.0
24	18.0	2.2	recall	0.011100133938774	18.0
25	19.0	2.2	precision	0.3499050879828576	19.0
26	20.0	2.2	accuracy	0.7214602024384633	20.0
27	21.0	2.1500000000000004	recall	0.0114649371322659	21.0
28	22.0	2.1500000000000004	precision	0.3532261530916842	22.0
29	23.0	2.1500000000000004	accuracy	0.7214745801702324	23.0
30	24.0	2.1	recall	0.0116212604088018	24.0
31	25.0	2.1	precision	0.3565532761961333	25.0
32	26.0	2.1	accuracy	0.7215177133655395	26.0
33	27.0	2.05	recall	0.0136016159466557	27.0
34	28.0	2.05	precision	0.3790223356162962	28.0
35	29.0	2.05	accuracy	0.721719001610306	29.0
36	30.0	2.0	recall	0.0180311990888213	30.0
37	31.0	2.0	precision	0.4283562822719449	31.0
38	32.0	2.0	accuracy	0.7224235104669887	32.0
39	33.0	1.95	recall	0.0186565247826814	33.0
40	34.0	1.95	precision	0.4258391673205303	34.0
41	35.0	1.95	accuracy	0.7222941108810673	35.0
42	36.0	1.9	recall	0.0254313155377678	36.0
